coord_x,coord_y,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.96405015,-19.9027163,0,"AVENIDA PREFEITO ANTONIO QUINTINO DA SILVA,N. 478 BAIRRO LAGO AZUL, FAMA, FAMA",213,2,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA QUINZE,N. 183 BAIRRO PEDRAS GRANDES-LT 16, VARZEA DA PALMA, VARZEA DA PALMA",77,3,0.09,0.09,0.11,5,Caiçaras
-44.6180032,-19.828677,0,"RESPLENDOR,N. 52, UNIAO, PARA DE MINAS",36,3,60.4,60.35,60.37,6,
-43.9358394,-19.8088088,157.94,"RUA ARMANDO GRECO,N. 333, JULIANA, BELO HORIZONTE",174,1,0.22,0.16,0.1,6,Frei Leopoldo
-43.96405015,-19.9027163,1218.34,"RUA B e D (LOTE 01) BAIRRO RESIDENCIAL CAQUENDE, ITABIRITO, ITABIRITO",74,4,0.09,0.09,0.11,5,Caiçaras
-44.0498259,-19.9712168,0,"RUA SETE,N. 201, SANTA MARIA, CONTAGEM",191,1,0.36,0.34,0.27,6,
-43.96405015,-19.9027163,0,"RUA CYPRIANO GIL ALCON,N. 37 LOTEAMENTO GIL ALCON, DIVINO, DIVINO",82,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA JOSE MISAEL,N. 281, CENTRO, CRUZEIRO DA FORTALEZA",20,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"Av. Serra Verde, MORADA DE DEUS, SAO SEBASTIAO",339,4,0.09,0.09,0.11,5,Caiçaras
-41.537401,-19.0026453,182.77,"RUA CORONEL FARIA,N. 699, CENTRO, GALILEIA",69,3,261.52,261.36,261.25,6,
-43.96405015,-19.9027163,0,"RUA JOVITA REGO,N. (100) BAIRRO N. SRA. DE FÁTIMA, TAIOBEIRAS, TAIOBEIRAS",50,4,0.09,0.09,0.11,5,Caiçaras
-43.9763632,-19.813794,0,"RUA AUGUSTA ALVARENGA INEZ,N. 37, CANDELARIA, BELO HORIZONTE",71,1,0.14,0.1,0.07,9,Candelária
-43.96405015,-19.9027163,0,"RUA ANTONIO SOUZA FREITAS,N. 3 BAIRRO ESPERANÇA, MENDES PIMENTEL, MENDES PIMENTEL",250,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA WAGNER LEMOS MACHADO,N. 840 CS 01, ACUDE, ITAJUBA",119,3,0.09,0.09,0.11,5,Caiçaras
-44.1505612,-19.753214,81.28,"RUA DOIS,N. 385 CASA 03 B.SÃO PEDRO, ESMERALDAS, ESMERALDAS",38,3,16.53,16.41,16.41,6,
-43.96405015,-19.9027163,52,"RUA PADRE JOSÉ DELEPOSTE,N. 75 BAIRRO CIDADE JARDIM, CONCEIÇÃO APARECIDA, CONCEICAO DA APARECIDA",43,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA PASTEUR,N. 1019 BAIRRO PINLAR, VARZEA DA PALMA, VARZEA DA PALMA",126,4,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA BETÂNIA,N. 59 BAIRRO BETEL, AIMORES, AIMORES",14,3,0.09,0.09,0.11,5,Caiçaras
-44.0917779,-19.9303547,107.79,"RUA CARLOS CHAGAS,N. 54, VILA BOA ESPERANCA, BETIM",148,1,5.95,5.72,5.72,6,
-43.96405015,-19.9027163,0,"RUA JOÃO ROCHA,N. 215 BAIRRO VALE DO SOL II, CAMPO BELO, CAMPO BELO",60,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA DOS GERANIOS,N. 512 BAIRRO BELA VISTA, ITAU DE MINAS, ITAU DE MINAS",40,3,0.09,0.09,0.11,5,Caiçaras
-49.4862414,-18.9685867,175,"RUA CEDROS,N. 586, ALVORADA, ITUIUTABA",60,3,580.21,580.18,580.2,6,
-44.7109504,-17.6303687,0,"RUA TRINTA E SETE,N. 207 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",65,3,250.41,250.37,250.37,6,
-43.96405015,-19.9027163,0,"RUA ZÉ AMARAL,N. 347 BAIRRO JARDIM DAS PALMEIRAS, CARMO DO PARANAIBA, CARMO DO PARANAIBA",37,3,0.09,0.09,0.11,5,Caiçaras
-44.1020646,-19.8804601,0,"AVENIDA DAS TULIPAS,N. 150, GRANJA OURO BRANCO, CONTAGEM",130,1,8.37,8.4,8.38,6,
-42.1428151,-19.7919241,214.3,"RUA MAJOR JOSE BELEGARD,N. 175, CENTRO, CARATINGA",295,3,180.77,180.79,180.62,6,
-43.96405015,-19.9027163,0,"RUA FIDELIS VASCONCELOS,N. 181 BAIRRO FAZENDA DO BREJO, MATEUS LEME, MATEUS LEME",32,1,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"AVENIDA BELO HORIZONTE,N. 3459 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",67,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA MARIA LUIZA DA SILVA,N. 138 BAIRRO JORGE DE PAULA GOUVEIA, CANÁPOLIS, CANAPOLIS",156,3,0.09,0.09,0.11,5,Caiçaras
-44.7136537,-17.6313032,0,"AVENIDA BELO HORIZONTE,N. 2601 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",77,3,250.4,250.36,250.36,6,
-43.96405015,-19.9027163,0,"RUA SEBASTIAO ALVES GUIMARAES,N. 420 BAIRRO ESPLANADA, JOÃO PINHEIRO, JOAO PINHEIRO",315,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA LEANDRO FERREIRA,N. 190 BAIRRO SANTA LUZIA, PITANGUI, PITANGUI",152,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,81.1,"AV. PREFEITO ALBERTO MOURA,N. 1359 BL.E B.MORRO VERMELHO, SETE LAGOAS, SETE LAGOAS",144,1,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,415.21,"RUA JOÃO BATISTA SALES,N. 145 BAIRRO JARDIM NOVA ANDRADAS, ANDRADAS, ANDRADAS",165,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA JOVIANO NAVES,N. 577 CS 01, BAIRRO SANTA CECILIA, ESMERALDAS, ESMERALDAS",100,3,0.09,0.09,0.11,5,Caiçaras
-44.1719593,-19.9227493,199,"RUA TORPEDO,N. 306 CASA 08, ITACOLOMI, BETIM",198,3,12.89,12.79,12.81,6,
-46.525563,-17.840706,294.17,"RUA PADRE ANCHIETA,N. 930, CENTRO, LAGOA GRANDE",510,3,343.26,343.21,343.21,6,
-43.96405015,-19.9027163,0,"RUA NUNCIO BORDON,N. 635 POSSUI CONSTRUÇÃO, PARQUE DOS GIRASSOIS, UBERABA",42,4,0.09,0.09,0.11,5,Caiçaras
-42.6280576,-19.5276302,31,"RUA CHAFARIZ,N. 52, NOSSA SENHORA DO CARMO, CORONEL FABRICIANO",42,3,134.37,134.27,134.17,6,
